"1 - (PERSONNAGES PRINCIPAUX : X, X, X,…",1,1,1
2 - (CHARACTER),1,10,1
3 - SOLOMON,12,371,10
4 - DAVID,1,8,1
5 - SOPHIE,36,1823,46
6 - FOYE,14,523,14
7 - EKENE,42,1979,50
8 - NII,14,834,21
9 - MALAIKA,18,541,14
10 - COUNSELOR 1,2,219,6
11 - COUNSELLOR 2,4,264,7
12 - COUNSELLOR 1,1,86,3
13 - COUNCELLOR 2,3,114,3
14 - PRINCESS,15,416,11
15 - TOBI,9,350,9
16 - NII SUBTITLE,1,69,2
17 - EKENE SUBTITLE,1,19,1
18 - COUNCELLOR 1,3,200,5
19 - FEMI,13,652,17
20 - SADE,39,1895,48
21 - SCHOOLKIDS,1,139,4
22 - COACH,4,156,4
23 - WEKI,36,1112,28
24 - BIYIKA,1,4,1
25 - BIKIYA,19,525,14
26 - OSARO,6,462,12
27 - BIKIYA CHRYON,1,24,1
28 - WEKI CHRYON,1,37,1
29 - WEKI CHYRON,1,45,2
30 - MALAIKA CHRYON,1,35,1
