"1 - (PERSONNAGES PRINCIPAUX : X, X, X,…",1
2 - (CHARACTER),0
3 - SOLOMON,8
4 - DAVID,1
5 - SOPHIE,37
6 - FOYE,11
7 - EKENE,40
8 - NII,17
9 - MALAIKA,11
10 - COUNSELOR 1,5
11 - COUNSELLOR 2,6
12 - COUNSELLOR 1,2
13 - COUNCELLOR 2,3
14 - PRINCESS,9
15 - TOBI,8
16 - NII SUBTITLE,2
17 - EKENE SUBTITLE,1
18 - COUNCELLOR 1,4
19 - FEMI,13
20 - SADE,38
21 - SCHOOLKIDS,3
22 - COACH,4
23 - WEKI,23
24 - BIYIKA,1
25 - BIKIYA,11
26 - OSARO,10
27 - BIKIYA CHRYON,1
28 - WEKI CHRYON,1
29 - WEKI CHYRON,1
30 - MALAIKA CHRYON,1
