1 - SINGER,97,4714,118
2 - HOLLY,260,6889,173
3 - KEVIN,206,6779,170
4 - BOB,200,6963,175
5 - SIDNEY,63,1961,50
6 - GUARD,1,25,1
7 - DETECTIVE WYATT,24,692,18
8 - WINSTON,225,7567,190
9 - FEMALE STAFF MEMBER,1,6,1
10 - ABBY,108,3624,91
11 - DEVON,94,3539,89
12 - SUMMER SANDS,6,202,6
13 - GUESS WHO'S BACK,1,17,1
14 - BIG NEWS,1,176,5
15 - MASON JACKS,10,389,10
16 - TOMMY,7,166,5
17 - ELLIE,25,962,25
18 - ELLIEOS,1,8,1
19 - SUMMER,11,814,21
20 - HARPER,19,472,12
21 - MASON,16,562,15
22 - WIINSTON,1,21,1
23 - MANGO,27,387,10
24 - FRANKIE,34,831,21
25 - CELL PHONE RING TONE,6,190,5
26 - HOLLY AND SIDNEY,1,4,1
27 - HOLLY AND DEVON,1,20,1
28 - CLEANING LADY,3,37,1
29 - CAPTAIN,1,20,1
30 - GROUP,2,43,2
31 - DIRECTOR,1,32,1
