1 - SINGER,95
2 - HOLLY,138
3 - KEVIN,136
4 - BOB,140
5 - SIDNEY,40
6 - GUARD,1
7 - DETECTIVE WYATT,14
8 - WINSTON,152
9 - FEMALE STAFF MEMBER,1
10 - ABBY,73
11 - DEVON,71
12 - SUMMER SANDS,5
13 - GUESS WHO'S BACK,1
14 - BIG NEWS,4
15 - MASON JACKS,8
16 - TOMMY,4
17 - ELLIE,20
18 - ELLIEOS,1
19 - SUMMER,17
20 - HARPER,10
21 - MASON,12
22 - WIINSTON,1
23 - MANGO,8
24 - FRANKIE,17
25 - CELL PHONE RING TONE,4
26 - HOLLY AND SIDNEY,1
27 - HOLLY AND DEVON,1
28 - CLEANING LADY,1
29 - CAPTAIN,1
30 - GROUP,1
31 - DIRECTOR,1
