1 - FREDDY,140,4538,114
2 - BRIDGET,43,992,25
3 - JAMES,263,9458,237
4 - OPHELIA,232,8052,202
5 - ETUDIANTE 1,31,692,18
6 - KAREN,97,4275,107
7 - JEB,17,364,10
8 - LISA,84,2975,75
9 - JOSÉ,118,3888,98
10 - FREDDY TV,9,343,9
11 - ETUDIANTS X 6,1,11,1
12 - SUSAN,35,2293,58
13 - STRIPTEASEUSE 1,5,105,3
14 - STRIPTEASEUSE 2,1,6,1
15 - HOMME 1,1,46,2
16 - SPECTATEURS X 20,3,44,2
17 - ETUDIANTE 2,55,814,21
18 - ETUDIANT 1,25,365,10
19 - LISA FLASHBACK,10,185,5
20 - PETER,13,506,13
21 - SUSIE,8,135,4
22 - FREDDY FLASHBACK,4,35,1
23 - MARIE,7,64,2
24 - HELEN,3,86,3
25 - JAMES FLASHBACK,25,1574,40
