1 - FERNANDO,103,6047,152
2 - ROBERTA,4,306,8
3 - INVIATO,1,33,1
4 - SOTTOTITOLO,4,318,8
5 - BURAGHI,5,696,18
6 - CARTELLO,2,54,2
7 - DON VINCENZO,7,825,21
8 - TORE,8,271,7
9 - ROCCO,16,1164,30
10 - MAIA,56,2213,56
11 - RADIO,1,97,3
12 - SIMONE,5,764,20
13 - LORENZO,11,342,9
14 - VALERIO,40,2221,56
15 - UOMO CAMICIA VIOLA,4,156,4
16 - GIOVANE CON ORECCHINO,2,85,3
17 - TELEFONO,1,55,2
18 - PM DIODATI,9,642,17
19 - NELLY,11,456,12
20 - GIANNI,6,235,6
21 - GIORNALISTA,2,638,16
22 - GIORNALISTA D,1,537,14
23 - TV,1,213,6
24 - INVIATO 2,1,102,3
25 - SOTTOSEGRETARIO,1,103,3
26 - SONIA,5,316,8
27 - DON MIMMO,7,674,17
28 - PM DIODATO,1,110,3
29 - INFORMATORE,6,389,10
30 - PASCAL,1,17,1
31 - MAESTRO,12,976,25
32 - BATTEZZATO,3,111,3
33 - UOMO DI GUARDIA,3,54,2
34 - NDRANGHETISTA,4,246,7
35 - MARIA,1,13,1
