1 - FERNANDO,121
2 - ROBERTA,7
3 - INVIATO,1
4 - SOTTOTITOLO,6
5 - BURAGHI,14
6 - CARTELLO,2
7 - DON VINCENZO,16
8 - TORE,6
9 - ROCCO,23
10 - MAIA,45
11 - RADIO,2
12 - SIMONE,16
13 - LORENZO,7
14 - VALERIO,45
15 - UOMO CAMICIA VIOLA,4
16 - GIOVANE CON ORECCHINO,2
17 - TELEFONO,2
18 - PM DIODATI,13
19 - NELLY,9
20 - GIANNI,5
21 - GIORNALISTA,13
22 - GIORNALISTA D,11
23 - TV,5
24 - INVIATO 2,3
25 - SOTTOSEGRETARIO,3
26 - SONIA,7
27 - DON MIMMO,14
28 - PM DIODATO,3
29 - INFORMATORE,8
30 - PASCAL,1
31 - MAESTRO,20
32 - BATTEZZATO,3
33 - UOMO DI GUARDIA,2
34 - NDRANGHETISTA,5
35 - MARIA,1
