1,NATE,What idiot fired that?,22,0.44
2,BRITT,Nate.,5,0.1
3,NATE,MacMasters.,11,0.22
4,BRITT,"I've been looking for you, Nate. Passed through Butte. Felt sure you'd be in the saloon.",88,1.76
5,NATE,I kinda figured that.,21,0.42
6,BRITT,I was gonna buy you a drink.,28,0.56
7,NATE,I'm sorry I missed that.,24,0.48
8,BRITT,That's why I brought it with me.,32,0.64
9,BRITT,Top shelf.,10,0.2
10,BRITT,"What's the matter, Nate? Don't you like top shelf?",50,1.0
11,NATE,Thought you were down near Medicine Bow.,40,0.8
12,BRITT,"Heard you were, too.",20,0.4
13,NATE,"I was, month back.",18,0.36
14,BRITT,It's what I heard.,18,0.36
15,NATE,"How about we go down to the saloon, I'll buy you that drink?",60,1.2
16,BRITT,"Nate Mason. I'm arresting you on three counts of murder. Bank president and bank guard, in Casper, Deputy Bill Clark in Laramie. I'm also arresting you for the robbery of those banks.",183,3.66
17,NATE,"Damn, Marshal. I've done a hell of a lot more than that.",56,1.12
18,BRITT,Those are the ones I've got paper on. Don't do it.,50,1.0
19,ALBERT,"Jessie, your long run is over. Now reach for the sky.",53,1.06
20,ALBERT,"Turn around slowly and don't make any sudden moves. Jessie James, I'm arresting you, all charges against you. Most recently, stagecoach at Hot Springs. But now it's over. You made the mistake of coming to Clearmont and crossin' paths with the great Britt MacMasters.",266,5.32
21,CHAD,"Criminy, Albert. I told you, use your name, not my pa's.",56,1.12
22,ALBERT,But your pa is famous.,22,0.44
23,CHAD,"Not to me, he ain't. And I can't look at you sayin'-- with you saying you're him.",81,1.62
24,ALBERT,What the hell does that mean?,29,0.58
25,CHAD,It means what I'm saying!,25,0.5
26,ALBERT,You never wanna be the Marshal and now it sounds like you don't wanna be the outlaw either.,91,1.82
27,CHAD,It means what I'm saying.,25,0.5
28,ALBERT,"It is, Chad. If you wanna be the Marshal, then be the Marshal. I don't care.",76,1.52
29,CHAD,I told you I don't wanna be Marshal MacMasters! Why in the hell would I wanna be him? And you'd be Marshal Hansen or somethin'.,127,2.54
30,DEX,"Hey, boys! Get in here, food's gettin' cold.",44,0.88
31,CHAD,"Yes, grandpa.",13,0.26
32,ALBERT,"Looks like you escaped to fight another day, Jessie.",52,1.04
33,DEX,"Come on, hurry up. You go any slower, you're gonna have to eat with the pigs! Well, so the only way we could get anywhere near that cabin was to climb Lookout Mountain. Don't forget now that's a 4000-foot fall. I blew in through that door and your daddy, he's got a rifle through the window and we got him dead to rights.",321,6.42
34,ALBERT,Did they surrender?,19,0.38
35,DEX,"Well, when they found out it was the MacMaster brothers, they just gave up their ghosts!",88,1.76
36,CHAD,"Wait, wait. Pa told me when he kicked in the door, one of the gang shot him, so he busted three of them to Kingdom Come.",120,2.4
37,DEX,"Well, that may have been another cabin, we were hittin' a lot of cabins in those days.",86,1.72
38,ALBERT,"Be right back, the privy calls.",31,0.62
39,DEX,"His pa is over in Sheridan, trying to get a bank loan. He'll be back in a couple of days. And your pa, he's out there doing what he does for a living. If he had a choice, he'd be home here with you.",198,3.96
40,CHAD,"I ain't seen him in nearly three months, grandpa.",49,0.98
41,DEX,"Well, now that don't mean he don't like you. He loves you, boy. That's why he's out there.",90,1.8
42,CHAD,Sure has a funny way of showing it.,35,0.7
43,DEX,"Yeah, you listen to what you just said. Show me a little gratitude.",67,1.34
44,CHAD,Gratitude? For leaving me alone?,32,0.64
45,DEX,He's out there providin'. He's--,32,0.64
46,ALBERT,"Six riders coming, over the ridge.",34,0.68
47,ALBERT,Who are they?,13,0.26
48,DEX,No good by the looks of 'em.,28,0.56
49,JED,Hold up there!,14,0.28
50,JED,Evenin'.,8,0.16
51,DEX,Yep.,4,0.08
52,JED,Me and my boys been ridin' all day. We are mighty thirsty.,58,1.16
53,DEX,You got a lot of water right in front of ya!,44,0.88
54,JED,"It's a bit dirty. You mind putting that rifle down, mister. Them things is dangerous, don't you know? We don't want no dead geezer on the front porch, do we?",157,3.14
55,DEX,What you looking for?,21,0.42
56,JED,I'm looking for someone.,24,0.48
57,DEX,Who's askin'?,13,0.26
58,JED,An old friend. Ain't this the ranch of Marshal Britt MacMasters? And I'd like to see him.,89,1.78
59,DEX,"Well, he's not us, he ain't here.",33,0.66
60,JED,"You wouldn't mind if me and my friends here had a look inside, would you?",73,1.46
61,DEX,You're not coming in this house.,32,0.64
62,JED,Jack.,5,0.1
63,CHAD,"Grandpa! Grandpa, wake up!",26,0.52
64,CASS,"Huh! Hiya, up there.",20,0.4
65,DEX,I'm alright.,12,0.24
66,CASS,Hiya!,5,0.1
67,JED,MacMasters!,11,0.22
68,CHAD,Grandpa!,8,0.16
69,JED,"Marshal MacMasters! Search the house! Silas, middle. Willie. Blade.",67,1.34
70,CHAD,"My pa ain't here. And if he was, you'd be dead by now!",54,1.08
71,JED,"MacMasters is your daddy, boy?",30,0.6
72,JED,Ain't that a kick o' the mule!,30,0.6
73,SILAS,He ain't here.,14,0.28
74,BLADE,Ain't that the luck.,20,0.4
75,JED,"We'll make MacMasters come to us. Where's your pa, boy?",55,1.1
76,CHAD,I don't know.,13,0.26
77,JED,How long he been gone?,22,0.44
