1 - Nicolas,4345,87,109
2 - Adela,1978,40,50
3 - Isabel 2,416,9,11
4 - Remedios,3104,63,78
5 - Victoria,3081,62,78
6 - Eugénia,1593,32,40
7 - Assemblée,0,0,0
8 - Alonzo,174,4,5
9 - Trinidad,1585,32,40
10 - Miguel,1875,38,47
11 - Ana,488,10,13
12 - Granados,321,7,9
13 - Père Octavio,1326,27,34
14 - Rosa,1730,35,44
15 - Femme au chapeau,7,1,1
16 - Homme Granados,28,1,1
17 - Morales,2635,53,66
18 - Milagro,1439,29,36
19 - Auteur,0,0,0
20 - Voix,6,1,1
21 - Marqueze général,21,1,1
22 - Esclave gauche,0,0,0
23 - Candélà,344,7,9
24 - Esclave 2,49,1,2
25 - Thomà,1231,25,31
26 - Esclaves,25,1,1
27 - Hilaria,393,8,10
28 - Siervo,28,1,1
