1 - ADELA,27,1671,42
2 - EUGENIA,24,1724,44
3 - MORALES,44,3000,75
4 - JULIAN,2,25,1
5 - ISABEL 2,14,630,16
6 - NICOLAS,71,4284,108
7 - VICTORIA,58,3257,82
8 - CATALINA,9,903,23
9 - MIGUEL,17,1981,50
10 - FELIPE,44,2120,53
11 - GENERAL,33,1611,41
12 - ALONZO,17,441,12
13 - PERE OCTAVIO,27,1840,46
14 - TOUS,4,27,1
15 - TRINIDAD,19,1278,32
16 - REMEDIOS,25,1228,31
17 - MILAGRO,13,703,18
18 - TOMAS,7,351,9
19 - SIERVO,10,458,12
20 - Docteur LOPEZ,15,752,19
21 - GRANADOS,8,197,5
22 - ESCLAVE FEMME 1 (NOEMI),18,537,14
23 - ESCLAVE,6,144,4
24 - FLASHBACK,1,0,0
25 - DOMINGO,3,61,2
26 - HELENA,8,162,5
