1 - NOLA,93,6701,168
2 - DR. JAMISON,22,1708,43
3 - BIANCA TATE,28,1751,44
4 - STOKLEY,6,406,11
5 - MAX,6,370,10
6 - PAPO,15,778,20
7 - SEPTIMA,3,466,12
8 - RACHEL,3,147,4
9 - SHELLY,1,27,1
10 - DOUG,1,79,2
11 - KERVON,2,87,3
12 - REGGIE,4,109,3
13 - HASSAN,2,61,2
14 - KIDS,1,7,1
15 - CLORINDA,13,1598,40
16 - CUSTOMER,2,81,3
17 - MARS,24,1553,39
18 - SHEMEKKA,10,690,18
19 - GREER,10,385,10
20 - OFFICER BRINKLEY,7,215,6
21 - OFFICER DIAZ,6,216,6
22 - MISS ELLA,2,50,2
23 - FEMALE OFFICER,1,39,1
24 - FRANK SINATRA (SINGS),2,947,24
25 - OPAL,4,243,7
