1 - __VOICEOVER,3,129,4
2 - JULIA GOLDSTEIN,48,3384,85
3 - RECEPTIONIST,1,62,2
4 - JAMES PETER,1,15,1
5 - JAMES PETERS,126,5011,126
6 - HANK Oâ€™CONNELL,38,1911,48
7 - GORDON ATKINS,71,2632,66
8 - JOSEPH MEEKER,9,365,10
9 - CHRISTINE HARRIS,143,6530,164
10 - JED PICKMAN,17,1191,30
11 - EVERYONE,2,41,2
12 - RACHEL,26,1030,26
13 - CAMERON,11,504,13
14 - JOE MEEKER,34,1582,40
15 - JED PECKHAM,2,58,2
16 - WALTON PETERS,1,103,3
17 - GORDANS ATIKINS,35,1591,40
18 - HANK Oâ€™CONNOLL,13,451,12
19 - JED PECKMAN,13,932,24
20 - JOE WEEKER,16,898,23
21 - CONTROL SCREENS,3,197,5
22 - JOE WEETER,15,938,24
23 - RADIO,1,41,2
24 - JIMâ€™S DAD,3,78,2
25 - FEMALE DOCTOR,3,115,3
