1 - __VOICEOVER,3,129,4
2 - JULIA GOLDSTEIN,48,3384,85
3 - RECEPTIONIST,1,60,2
4 - JAMES PETER,1,15,1
5 - JAMES PETERS,126,4991,125
6 - HANK O’CONNELL,38,1911,48
7 - GORDON ATKINS,71,2628,66
8 - JOSEPH MEEKER,9,365,10
9 - CHRISTINE HARRIS,143,6518,163
10 - JED PICKMAN,17,1191,30
11 - EVERYONE,2,41,2
12 - RACHEL,26,1026,26
13 - CAMERON,11,504,13
14 - JOE MEEKER,34,1574,40
15 - JED PECKHAM,2,58,2
16 - WALTON PETERS,1,103,3
17 - GORDANS ATIKINS,35,1591,40
18 - HANK O’CONNOLL,13,443,12
19 - JED PECKMAN,13,932,24
20 - JOE WEEKER,16,898,23
21 - CONTROL SCREENS,3,197,5
22 - JOE WEETER,15,938,24
23 - RADIO,1,41,2
24 - JIM’S DAD,3,78,2
25 - FEMALE DOCTOR,3,115,3
