1 - LAUREN,308,7392,185
2 - JACK,614,16171,405
3 - NOAH,326,7468,187
4 - BILLY,198,4494,113
5 - ZOE,333,7100,178
6 - STAFF MEMBER,9,119,3
7 - POLICE OFFICER,3,46,2
8 - FEMALE OFFICER,1,27,1
9 - MITCH,191,4912,123
10 - CHARLIE,15,362,10
11 - JOE,1,22,1
12 - STAFF MEMBER 2,11,293,8
13 - STAFF MEMBERS,1,6,1
14 - ZOE AND BILLY,1,10,1
15 - WOMAN,15,449,12
16 - MAN,14,297,8
17 - LUCAS,23,710,18
18 - GROUP,1,29,1
19 - ALL,10,165,5
20 - TOURISTS,1,4,1
21 - FEMALE TOURIST,1,14,1
22 - NOAH AND BILLY,1,24,1
23 - TOURIST,1,21,1
24 - LAUREN AND NOAH,1,7,1
25 - ZOE AND JACK,1,4,1
26 - MAN 1,11,287,8
27 - DOCTOR,4,110,3
28 - MAN 2,1,30,1
29 - POACHER 1,3,43,2
30 - POACHER 2,1,33,1
31 - ZOE AND NOAH,2,11,1
32 - POACHER,1,44,2
33 - WOMAN 2,2,57,2
