1 - LAUREN,131
2 - JACK,293
3 - NOAH,141
4 - BILLY,73
5 - ZOE,127
6 - STAFF MEMBER,3
7 - POLICE OFFICER,1
8 - FEMALE OFFICER,0
9 - MITCH,80
10 - CHARLIE,6
11 - JOE,1
12 - STAFF MEMBER 2,6
13 - STAFF MEMBERS,1
14 - ZOE AND BILLY,0
15 - WOMAN,7
16 - MAN,4
17 - LUCAS,14
18 - GROUP,0
19 - ALL,2
20 - TOURISTS,1
21 - FEMALE TOURIST,1
22 - NOAH AND BILLY,0
23 - TOURIST,1
24 - LAUREN AND NOAH,1
25 - ZOE AND JACK,1
26 - MAN 1,6
27 - DOCTOR,2
28 - MAN 2,0
29 - POACHER 1,1
30 - POACHER 2,1
31 - ZOE AND NOAH,1
32 - POACHER,1
33 - WOMAN 2,2
