1 - INSERT,5,177,5
2 - AMB RUE,1,60,2
3 - MIGUEL,58,2704,68
4 - JESUS,3,160,4
5 - ISABEL,14,594,15
6 - GABRIEL,12,315,8
7 - MILAGRO,17,1702,43
8 - VICTORIA,71,3404,86
9 - REMEDIOS,20,1198,30
10 - NICOLAS,19,420,11
11 - ADELA,53,3772,95
12 - THOMAS,21,987,25
13 - FELIPE,26,1551,39
14 - ANA,37,1672,42
15 - TARAZONA,7,739,19
16 - ENID,7,504,13
17 - ESCLAVA,1,18,1
18 - SONG,2,168,5
19 - AMB MARCHE,1,18,1
20 - JULIAN,13,1075,27
21 - ANGELA,20,963,25
22 - WOMAN,1,10,1
23 - MATEO,2,17,1
24 - WOMAN EN JAUNE,2,23,1
25 - HOMBRE,5,101,3
26 - GRANADOS,2,37,1
27 - MARQUEZ,18,988,25
28 - EUGENIA,13,548,14
29 - SIERVO,13,830,21
30 - SOEUR ALICIA,11,1041,27
31 - MARQUISE,11,527,14
