1 - PERE OCTAVIO,7,718,18
2 - NICOLAS,60,5069,127
3 - DR ARTURO LOPEZ,26,3668,92
4 - JAIME,22,1646,42
5 - CATALINA,14,1004,26
6 - MIGUEL,24,2380,60
7 - CANDELA,2,312,8
8 - NOEMIE,1,55,2
9 - SIERVO,3,334,9
10 - MILAGRO,9,801,21
11 - VICTORIA,28,1876,47
12 - ISABEL 2,4,215,6
13 - HOMME,1,36,1
14 - MARCOS,10,403,11
15 - JULIAN,4,108,3
16 - TRINIDAD,11,788,20
17 - REMEDIOS,4,269,7
18 - ADELA,9,969,25
19 - GENERAL,3,669,17
20 - EUGENIA,22,1328,34
21 - RANGEL,6,615,16
22 - MORALES,7,633,16
23 - FELIPE,20,4634,116
24 - BUMBA,2,179,5
25 - AMBIANCE RUE HOMMES/FEMMES,2,767,20
26 - ANA,4,260,7
27 - ANGELA,6,606,16
28 - JUGE,6,1655,42
29 - MANUELA,2,122,4
30 - GABRIEL MARQUEZ,1,157,4
31 - LOPEZ 2,4,230,6
32 - GRANADOS,5,486,13
33 - (texte),1,19,1
