1 - PERE OCTAVIO,15
2 - NICOLAS,96
3 - DR ARTURO LOPEZ,74
4 - JAIME,33
5 - CATALINA,21
6 - MIGUEL,47
7 - CANDELA,6
8 - NOEMIE,2
9 - SIERVO,7
10 - MILAGRO,16
11 - VICTORIA,38
12 - ISABEL 2,5
13 - HOMME,1
14 - MARCOS,8
15 - JULIAN,3
16 - TRINIDAD,16
17 - REMEDIOS,6
18 - ADELA,20
19 - GENERAL,14
20 - EUGENIA,23
21 - RANGEL,13
22 - MORALES,13
23 - FELIPE,93
24 - BUMBA,4
25 - AMBIANCE RUE HOMMES/FEMMES,16
26 - ANA,6
27 - ANGELA,13
28 - JUGE,34
29 - MANUELA,3
30 - GABRIEL MARQUEZ,4
31 - LOPEZ 2,5
32 - GRANADOS,10
33 - (texte),1
