1 - Insert,2,43,2
2 - JULIAN,29,1196,30
3 - NICOLAS,16,592,15
4 - HILARIA,26,1070,27
5 - VICTORIA,109,2771,70
6 - MIGUEL,113,3955,99
7 - REMEDIOS,37,1832,46
8 - MILAGRO,19,478,12
9 - SIERVO,6,339,9
10 - ADELA,36,2764,70
11 - EUGENIA,18,1161,30
12 - BUMBA,9,451,12
13 - TRINIDAD,16,523,14
14 - THOMAS,12,929,24
15 - ASSISTANT 1,3,114,3
16 - ABDUL,15,1782,45
17 - LORENZA,10,910,23
18 - ISABEL 2,35,2133,54
19 - CANDELA,6,377,10
20 - NOEMI,1,62,2
21 - GABRIEL,4,386,10
22 - MANUELA,24,999,25
23 - ANGELA,5,828,21
24 - JESUS,7,245,7
25 - TARAZONA,17,1603,41
26 - FELIPE,8,261,7
27 - ANA,5,90,3
28 - ESCLAVE TUNIQUE,3,29,1
29 - ESCLAVE HOMME TURBAN,14,147,4
30 - ESCLAVE GARÇON,1,14,1
31 - GRANADOS,6,256,7
