1 - BRIGGS,13,2317,58
2 - SOLDIER,2,19,1
3 - GENERAL MCCLAIN,1,19,1
4 - MCCLAIN,4,604,16
5 - CAMBRIDGE,7,565,15
6 - LEE,67,6270,157
7 - HOUSTON,11,1044,27
8 - COMPUTER SCREEN TEXT,9,260,7
9 - TALK SHOW HOST,5,537,14
10 - NEWS VOICE,1,125,4
11 - 23 ALPHA,6,496,13
12 - LEE’S BROTHER,3,603,16
13 - ROGERS,2,792,20
14 - JOHNSON,1,744,19
15 - WOMAN,9,268,7
16 - JESSE,1,717,18
17 - BRID,2,1362,35
18 - TV HOST,1,98,3
19 - TEXT ON COMPUTER SCREEN,1,78,2
20 - TEXT IN THE BOOK,3,235,6
21 - VOICE,3,612,16
22 - RODGERS,1,102,3
23 - COMPUTER VOICE,2,554,14
