1 - MAN#1,3,80,2
2 - YOUNG JENNIFER,19,372,10
3 - WOMAN#1,1,36,1
4 - WOMAN#2,7,186,5
5 - COL. CLAYTON,216,5462,137
6 - JENNIFER,287,6693,168
7 - GERTIE,52,1271,32
8 - RICK,50,1167,30
9 - RUBEN,80,2256,57
10 - CLIVE,22,503,13
11 - GEN. WHITE,74,2475,62
12 - WOMAN#3,1,38,1
13 - MAN#2,1,22,1
14 - WOMAN#4,1,14,1
15 - MAN#3,1,25,1
16 - MAN#4,1,33,1
17 - MAN#5,1,46,2
18 - MAN#6,5,159,4
19 - MRS. SOREN,12,290,8
20 - ADAM,150,3664,92
21 - JAMIE,6,109,3
22 - CASSIE,19,355,9
23 - ADAM REACTING,3,34,1
24 - RUBEN REACTING,2,26,1
25 - MAN#9,1,23,1
26 - NEWS ANCHOR,32,1200,30
27 - NEWS REPORTER,26,838,21
28 - PARAMEDIC,1,28,1
29 - WOMAN#6,7,280,7
30 - MAN#10,2,45,2
31 - WOMAN#7,2,80,2
32 - MAN#11,3,96,3
33 - MAN#12,1,11,1
34 - MAN#13,1,28,1
35 - FATHER V.O,1,23,1
36 - FATHER V.O.,1,10,1
37 - NEWS ANCHOR OVER PHONE,3,113,3
38 - SECURITY CHIEF,6,200,5
39 - SPEC OPS LEADER,18,364,10
40 - SPEC OPS LEADER/JENNIFER,2,39,1
41 - DAD,10,233,6
42 - COL. CLAYTON OVER RADIO,2,51,2
43 - RICK/RUBEN,6,162,5
44 - SPEC OPS LEADER/ADAM,2,29,1
45 - MAN,11,286,8
46 - JENNIFER/RUBEN,3,84,3
47 - PILOT,5,102,3
48 - LAB TECH,1,21,1
49 - GEN. WHITE OVER SPEAKER,4,122,4
50 - COL. CLAYTON OVER SPEAKER,2,70,2
51 - LAB TECH #1,1,9,1
52 - WOMAN#9,1,9,1
53 - ADAM/JENNIFER,1,25,1
54 - JENNIFER/JENNIFER,2,118,3
55 - JENNIFER/ADAM,1,3,1
56 - PRESIDENT CORONADO,15,474,12
