1 - __VOICEOVER,68,1351,34
2 - MAIN TITLE),2,39,1
3 - VICAR,24,560,14
4 - JACK WILLOUGHBY,2,42,2
5 - MARY WILLOUGHBY,1,21,1
6 - BUTLER,1,18,1
7 - (CONT'D),609,13730,344
8 - YOUNG ROBERT,3,74,2
9 - MAID,2,44,2
10 - YOUNG ROBERT),16,368,10
11 - WILLOUGHBY),59,1247,32
12 - WILLOUGHBY) (CONT'D),64,1483,38
13 - YOUNG ROBERT) (CONT'D),15,420,11
14 - WILLOUGHBY,2,30,1
15 - LAURA,1,22,1
16 - YOUNG MISS WILLOUGHBY),4,36,1
17 - YOUNG MISS WILLOUGHBY) (CONT'D,1,9,1
18 - YOUNG MISS WILLOUGHBY,1,12,1
19 - MISS WILLOUGHBY,293,6078,152
20 - [VO]),3,67,2
21 - THEN OLIVER,2,47,2
22 - (CONT'D) [VO]),20,464,12
23 - OLIVER,98,1991,50
24 - THEN MISS WILLOUGHBY,2,43,2
25 - MISS WILLOUGHBY),4,38,1
26 - ROBERT,214,4192,105
27 - HELEN,85,1845,47
28 - 2,3,59,2
29 - DIANA,80,1603,41
30 - SARAH),6,112,3
31 - 5,2,45,2
32 - SARAH,59,1238,31
33 - DIANA),4,76,2
34 - MAN,2,16,1
35 - HELEN),8,141,4
36 - HELEN) (CONT'D),2,23,1
37 - OLIVER),7,113,3
38 - ROBERT),3,42,2
39 - CAROLE,2,33,1
40 - ANDREW,3,61,2
41 - THE HELEN,2,23,1
42 - BRIONY,2,48,2
43 - TITLE),14,305,8
44 - MURRAY),25,507,13
45 - MURRAY) (CONT'D),12,275,7
46 - TO MISS WILLOUGHBY),10,216,6
47 - WILLOUGHBY (CONT'D),1,25,1
48 - THE ROBERT,2,49,2
49 - DR. SHIRANI,46,988,25
50 - SHIRANI,10,159,4
51 - THEN DR. SHIRANI,2,41,2
52 - TO CHARLES),2,52,2
53 - CHARLES,8,187,5
54 - THE CHARLES,2,26,1
55 - PROFESSOR MURRAY,15,346,9
56 - THEN PROFESSOR MURRAY,2,47,2
57 - RONALD,2,20,1
58 - (CONT'D) THEN SARAH,4,82,3
59 - TO ROBERT),2,60,2
60 - D.I. PRYCE,40,723,19
61 - TO D.I. PRYCE),2,23,1
62 - PRYCE),4,97,3
63 - OFFICER,1,30,1
64 - TO SARAH),2,41,2
65 - SPEAKER,4,83,3
66 - OLIVE,4,49,2
67 - (LOGO),6,126,4
