1 - __VOICEOVER,28
2 - MAIN TITLE),1
3 - VICAR,12
4 - JACK WILLOUGHBY,1
5 - MARY WILLOUGHBY,1
6 - BUTLER,1
7 - (CONT'D),275
8 - YOUNG ROBERT,2
9 - MAID,1
10 - YOUNG ROBERT),8
11 - WILLOUGHBY),25
12 - WILLOUGHBY) (CONT'D),30
13 - YOUNG ROBERT) (CONT'D),9
14 - WILLOUGHBY,1
15 - LAURA,1
16 - YOUNG MISS WILLOUGHBY),1
17 - YOUNG MISS WILLOUGHBY) (CONT'D,1
18 - YOUNG MISS WILLOUGHBY,1
19 - MISS WILLOUGHBY,122
20 - [VO]),2
21 - THEN OLIVER,1
22 - (CONT'D) [VO]),10
23 - OLIVER,40
24 - THEN MISS WILLOUGHBY,1
25 - MISS WILLOUGHBY),1
26 - ROBERT,84
27 - HELEN,37
28 - 2,2
29 - DIANA,33
30 - SARAH),3
31 - 5,1
32 - SARAH,25
33 - DIANA),2
34 - MAN,1
35 - HELEN),3
36 - HELEN) (CONT'D),1
37 - OLIVER),3
38 - ROBERT),1
39 - CAROLE,1
40 - ANDREW,2
41 - THE HELEN,1
42 - BRIONY,1
43 - TITLE),6
44 - MURRAY),11
45 - MURRAY) (CONT'D),6
46 - TO MISS WILLOUGHBY),5
47 - WILLOUGHBY (CONT'D),1
48 - THE ROBERT,1
49 - DR. SHIRANI,20
50 - SHIRANI,4
51 - THEN DR. SHIRANI,1
52 - TO CHARLES),2
53 - CHARLES,4
54 - THE CHARLES,1
55 - PROFESSOR MURRAY,7
56 - THEN PROFESSOR MURRAY,1
57 - RONALD,1
58 - (CONT'D) THEN SARAH,2
59 - TO ROBERT),2
60 - D.I. PRYCE,15
61 - TO D.I. PRYCE),1
62 - PRYCE),2
63 - OFFICER,1
64 - TO SARAH),1
65 - SPEAKER,2
66 - OLIVE,1
67 - (LOGO),3
