1 - (CHARACTER),1,10,1
2 - Monica,158,8556,214
3 - Winnie,124,4869,122
4 - Teacher,2,182,5
5 - Barbara,106,5093,128
6 - Desmond,88,3705,93
7 - Kerry,88,3114,78
8 - Boy3,19,621,16
9 - Bayo,25,742,19
10 - Boy2,14,356,9
11 - Boy4,10,266,7
12 - Boy5,11,222,6
13 - Boy6,4,155,4
14 - Dwarf,33,980,25
15 - Boys,26,217,6
16 - Elsie,76,3901,98
17 - Scarlet,112,4549,114
18 - Philip,39,1758,44
19 - Tricia,58,1853,47
20 - Daniella,74,2459,62
21 - Clara,24,1993,50
22 - Blessing,3,27,1
23 - Morris,26,3539,89
24 - Melvin,48,3042,77
25 - Sophie,51,2511,63
26 - Boy,4,55,2
27 - Boy1,3,110,3
28 - Guy,49,2532,64
29 - G.friend,12,337,9
30 - Car,36,1622,41
31 - Girls,13,147,4
32 - Dark2,4,137,4
33 - Dark3,5,431,11
34 - Dark4,5,167,5
35 - Barbera,1,82,3
36 - Nonso,6,204,6
37 - Girl,3,41,2
38 - Phil,1,84,3
39 - Dad,1,61,2
40 - Students,1,8,1
41 - Girlfriend,8,457,12
42 - Ebuka,1,8,1
43 - Miss,19,818,21
44 - Miss2,1,128,4
45 - Babara,1,75,2
46 - Staff,5,369,10
