1 - BURLY MAN,12,189,5
2 - FRED,7,154,4
3 - RUTH,2,42,2
4 - WADE,181,4192,105
5 - SONG,94,2724,69
6 - JENNY,208,4488,113
7 - EDDIE,75,1646,42
8 - MIRANDA ,203,4159,104
9 - EMILY,90,1959,49
10 - SALLY,12,316,8
11 - OPERATOR,5,101,3
12 - TIMMY,4,63,2
13 - JIMMY,3,50,2
14 - DISPATCHER,7,202,6
15 - TODD,71,1427,36
16 - NANCY,5,75,2
17 - CHUCK,14,397,10
18 - FORENSICS OFFICER,7,206,6
19 - RANGER SULLIVAN,3,59,2
20 - DAVIS,9,157,4
21 - CARLEIGH,16,416,11
22 - PARKER,7,89,3
23 - BEN,12,260,7
24 - RANGER STEVENS,13,322,9
25 - OFFICER MONROE,2,26,1
26 - STUDENT,1,32,1
27 - LOUISE,10,314,8
28 - MIGUEL,4,86,3
29 - MEDIC,2,69,2
30 - JENNY AND EMILY,3,45,2
31 - MIRANDA AND JENNY,2,53,2
