1 - BURLY MAN,189,4
2 - FRED,154,4
3 - RUTH,42,1
4 - WADE,4192,84
5 - SONG,2670,54
6 - JENNY,4488,90
7 - EDDIE,1646,33
8 - MIRANDA ,4159,84
9 - EMILY,1959,40
10 - SALLY,316,7
11 - OPERATOR,101,3
12 - TIMMY,63,2
13 - JIMMY,50,1
14 - DISPATCHER,202,5
15 - TODD,1427,29
16 - NANCY,75,2
17 - CHUCK,397,8
18 - FORENSICS OFFICER,206,5
19 - RANGER SULLIVAN,59,2
20 - DAVIS,157,4
21 - CARLEIGH,416,9
22 - PARKER,89,2
23 - BEN,260,6
24 - RANGER STEVENS,322,7
25 - OFFICER MONROE,26,1
26 - STUDENT,32,1
27 - LOUISE,314,7
28 - MIGUEL,86,2
29 - MEDIC,69,2
30 - JENNY AND EMILY,45,1
31 - MIRANDA AND JENNY,53,2
32 - MAIN TITLE,21,1
