1 - MAN,7,358,9
2 - MAN #2,2,86,3
3 - OBAMA,2,87,3
4 - MAN #4,1,66,2
5 - WOMAN,11,472,12
6 - MAN #5,7,301,8
7 - WOMAN #2,7,336,9
8 - MAN #6,1,40,1
9 - MAN #7,1,42,2
10 - CAYMAN,88,2941,74
11 - MAN #8,5,248,7
12 - INFOMERCIAL PROCESSOR,13,486,13
13 - DOCTOR,8,226,6
14 - TERRENCE,73,2168,55
15 - MOTHER,4,84,3
16 - GUARD,3,130,4
17 - SUNDAY,23,598,15
18 - EDDIE,15,545,14
19 - SATURDAY,77,1980,50
20 - MONDAY,53,1462,37
21 - WEDNESDAY,50,1065,27
22 - THURSDAY,182,5032,126
23 - TUESDAY,58,1568,40
24 - FRIDAY,69,2195,55
25 - ADRIAN,75,1885,48
26 - JERRY,34,952,24
27 - VICTORIA,6,136,4
28 - MIA,5,161,5
29 - ZAQUIA,6,131,4
30 - JOE,30,808,21
31 - DUTCH,12,165,5
32 - SNIPER,1,30,1
33 - ENFORCER,8,106,3
34 - ENFORCER LEADER,3,32,1
35 - CAR RADIO,3,179,5
36 - RADIO VOICE,2,23,1
37 - PROCESSOR,1,23,1
38 - LITTLE GIRL,1,13,1
39 - FEMALE PROCESSOR,6,108,3
40 - ENFORCER #1,2,12,1
41 - FEMALE NEWSREADER,7,336,9
