1 - MAN,8
2 - MAN #2,2
3 - OBAMA,2
4 - MAN #4,2
5 - WOMAN,10
6 - MAN #5,7
7 - WOMAN #2,7
8 - MAN #6,1
9 - MAN #7,1
10 - CAYMAN,59
11 - MAN #8,5
12 - INFOMERCIAL PROCESSOR,10
13 - DOCTOR,5
14 - TERRENCE,44
15 - MOTHER,2
16 - GUARD,3
17 - SUNDAY,12
18 - EDDIE,11
19 - SATURDAY,40
20 - MONDAY,30
21 - WEDNESDAY,22
22 - THURSDAY,101
23 - TUESDAY,31
24 - FRIDAY,44
25 - ADRIAN,38
26 - JERRY,20
27 - VICTORIA,3
28 - MIA,4
29 - ZAQUIA,3
30 - JOE,17
31 - DUTCH,4
32 - SNIPER,1
33 - ENFORCER,3
34 - ENFORCER LEADER,1
35 - CAR RADIO,4
36 - RADIO VOICE,1
37 - PROCESSOR,1
38 - LITTLE GIRL,1
39 - FEMALE PROCESSOR,3
40 - ENFORCER #1,1
41 - FEMALE NEWSREADER,7
